Session,Day,Date,Time,Registration Link
Step 1,Thursday,15 September 2022,12:00,https://20220915-MDC-Step1.eventbrite.co.uk
Step 1,Tuesday,01 November 2022,12:00,https://20221101-MDC-Step1.eventbrite.co.uk
Step 1 for Finance,Tuesday,20 September 2022,14:00,https://20220920-MDCF-Step1.eventbrite.co.uk
Step 1 for Finance,Tuesday,08 November 2022,14:00,https://20221108-MDCF-Step1.eventbrite.co.uk
Step 2,Wednesday,21 September 2022,12:00,https://20220921-MDC-Step2.eventbrite.co.uk
Step 2,Wednesday,09 November 2022,11:00,https://20221109-MDC-Step2.eventbrite.co.uk
Step 3,Wednesday,28 September 2022,11:00,https://20220928-MDC-Step3.eventbrite.co.uk
Step 3,Tuesday,15 November 2022,13:00,https://20221115-MDC-Step3.eventbrite.co.uk
Step 4,Tuesday,04 October 2022,13:00,https://20221004-MDC-Step4.eventbrite.co.uk
Step 4,Wednesday,23 November 2022,12:00,https://20221123-MDC-Step4.eventbrite.co.uk
Step 5,Wednesday,12 October 2022,12:00,https://20221012-MDC-Step5.eventbrite.co.uk
Step 5,Thursday,01 December 2022,12:00,https://20221201-MDC-Step5.eventbrite.co.uk
Step 6,Thursday,20 October 2022,11:00,https://20221020-MDC-Step6.eventbrite.co.uk
Step 6,Tuesday,06 December 2022,13:00,https://20221206-MDC-Step6.eventbrite.co.uk
Step 7,Wednesday,26 October 2022,11:00,https://20221026-MDC-Step7.eventbrite.co.uk
Step 7,Thursday,15 December 2022,13:00,https://20221215-MDC-Step7.eventbrite.co.uk
